HDI_rank;Human_Development _Level(HDL);Countries;Imports_of_goods_and_services_(% of GDP)_1990;Imports_of_goods_and_services_(% of GDP)_2005;Exports_of_goods_and_services_ (% of GDP)_1990;Exports_of_goods_and_services_ (% of GDP)_2005;Primary_exportsa_ (% of merchandise exports)_1990;Primary_exportsa_ (% of merchandise exports)_2005;Manufactured exports_(% of merchandise exports)_1990;Manufactured_exports_ (% of merchandise exports)_2005;High_technology_exports_(% of manufactured exports)_1990;High_technology_exports_(% of manufactured exports)_2005;Terms_of_trade_ (2000=100)b_2004-05c
1;High;Iceland;32;45;34;32;91;80;8;19;10 ,0;27 ,1; 
2;High;Norway;34;28;40;45;67;80;32;17;12 ,4;17 ,3;122
3;High;Australia;16;21;16;18;73;67;27;25;11 ,9;12 ,7;131
4;High;Canada;26;34;26;39;36;37;59;58;13 ,7;14 ,4;111
5;High;Ireland;52;68;57;83;26;10;70;86; ; ;99
6;High;Sweden;30;41;30;49;16;15;83;79;13 ,3;16 ,7;90
7;High;Switzerland;34;39;36;46;6;6;94;93;12 ,1;21 ,7; 
8;High;Japan;10;11;10;13;3;4;96;92;23 ,8;22 ,5;83
9;High;Netherlands;52;63;56;71;37;31;59;68;16 ,4;30 ,1;100
10;High;France;23;27;21;26;23;18;77;80;16 ,1;20 ,0;111
11;High;Finland;24;35;22;39;17;15;83;84;7 ,6;25 ,2;86
12;High;United States;11;15;10;10;21;15;75;82;33 ,7;31 ,8;97
13;High;Spain;19;31;16;25;24;22;75;77;6 ,4;7 ,1;102
14;High;Denmark;33;44;37;49;35;31;60;65;15 ,2;21 ,6;104
15;High;Austria;37;48;38;53;12;16;88;80;7 ,8;12 ,8;102
16;High;United Kingdom;27;30;24;26;19;18;79;77;23 ,6;28 ,0;105
17;High;Belgium;68;85;69;87;19;19;77;79; ;8 ,7;99
18;High;Luxembourg;88;136;102;158; ;14; ;82; ;11 ,8; 
19;High;New Zealand;27;30;27;29;72;66;26;31;9 ,5;14 ,2;112
20;High;Italy;19;26;19;26;11;12;88;85;7 ,6;7 ,8;101
21;High;Hong Kong, China (SAR);122;185;131;198;7;3;92;96;12 ,1;33 ,9;98
22;High;Germany;25;35;25;40;10;10;89;83;11 ,1;16 ,9;101
23;High;Israel;45;51;35;46;13;4;87;83;10 ,4;13 ,9;95
24;High;Greece;28;28;18;21;46;41;54;56;2 ,2;10 ,2;95
25;High;Singapore; ;213; ;243;27;15;72;81;39 ,7;56 ,6;87
26;High;Korea (Republic of);29;40;28;42;6;9;94;91;17 ,8;32 ,3;77
27;High;Slovenia;79;65;91;65;14;12;86;88;3 ,2;4 ,6; 
28;High;Cyprus;57; ;52; ;42;36;58;63;8 ,2;46 ,3; 
29;High;Portugal;38;37;31;29;19;16;80;75;4 ,4;8 ,7;102
30;High;Brunei Darussalam; ; ; ; ;97;88;3;12; ;4 ,9; 
31;High;Barbados;52;69;49;58;55;56;43;43;20 ,2;14 ,8; 
32;High;Czech Republic;43;70;45;72; ;10; ;88; ;12 ,9; 
